date_set,scope,condition,action,status,notes
2026-06-30,PORTFOY,MACD histogram 4/5 cekirdekte negatif 2-3 seans ust uste,Rotasyon degerlendir (momentum adaylarina),expired,"07-30 SUPERSEDED: cekirdek 07-30 restructure ile yenilendi (ISCTR+FROTO stop-kesim -> BIMAS/AEFES/CCOLA). Yeni cekirdek MACD hist: BIMAS +0.69 / AEFES +0.11 / CCOLA +0.25 POZ, GARAN +0.36 POZ (donus 3.gun), TUPRS -0.52 cooling = 1/5 neg. Eski MACD-rotasyon tetigi gecersiz; her isim kendi stopuyla izlenir"
2026-07-10,TUPRS,Trailing stop 291 TL (settled),Kesim,fired,07-31 FIRED (TERMINAL): 07-30 settled 288.00 < 291 DECISIVE breach (-1.03%); 07-31 intraday 287.75 teyit. Trailing stop TASARLANDIGI gibi calisti (RSI 97 tepe -> mean-reversion). Realize alfa OTORITER +36.05pp (giris 225.40 -> cikis 288.00 +%27.77; XU100 -8.28%). Portfoyun TEK pozitif-alfa motoru zirvede kilitlendi. Pozisyon KAPANDI. Geri alim = yeni katalizor + settled >291 rejim onarimi
2026-07-01,TCELL,settled <104 -> TAM KESIM / stop 98 TL,TAM KESIM,fired,07-24 FIRED (TERMINAL). Pozisyon KAPANDI. Realize alfa -6.19pp. Tarihsel referans (flow cokusu + stop delme paterni)
2026-06-16,FROTO,Stop 78 TL / settled <78,Kesim,fired,"07-30 FIRED (TERMINAL): 07-28 settled 77.55 < 78 -> KESIM; 07-29 76.10 teyit. Bilanco 4 Agu'ya tasindi (imminent degil) -> catalyst-hold gecersiz. Pozisyon KAPANDI, realize alfa OTORITER -9.50pp. Geri alim = 4 Agu bilanco beat + settled >80 rejim onarimi gerekir"
2026-07-01,GARAN+ISCTR,ISCTR stop 12.80 / settled <12.50,Rejim/de-risk trim -> KESIM,fired,"07-30 ISCTR bacagi FIRED (TERMINAL): 07-29 settled 12.30 < 12.80 stop DECISIVE breach (-3.9%, temas degil) + < 12.50. Flow cokusu, KAP temiz. Pre-commit 'trim' softlugu decisive breach'te gecersiz -> TAM KESIM. Realize alfa -11.29pp. GARAN bacagi ayri tetige tasindi"
2026-06-17,THYAO,RSI asiri alimdan cikip momentum korunursa,Geri alim degerlendir,expired,"v2 TEMIZLIK 2026-09-18: pozisyon kapali, tetigin izledigi agirlik yok -> expired. v1'de kapanan pozisyonun tetikleri ayni rutinde expire edilmiyordu (METHODOLOGY 6.4 ihlali); v2 PROMPT adim 2d bunu zorunlu kilar. | 08-03: 07-31 settled 314.00 (+1.87%) vs XU100 +1.24% = +0.63pp; kumulatif alfa +3.31 (defansif). 08-03 intraday 319.5 AMA RSI 39.3 (asiri satimda, asiri ALIMDAN CIKIS DEGIL) + MACD hist -1.12 NEGATIF momentum bozuk. Geri alim SART MET DEGIL; watchlist suruyor | 08-05: DEGERLENDIRILEMEDI (veri kesintisi 2. is gunu). Son teyit 07-31 settled 314.00, kumulatif alfa +3.31. Geri alim sarti olculemedi; watchlist suruyor | 08-06: backfill sonrasi settled 317,00/323,75/314,00. Kumulatif alfa +3,31 -> +1,62 (izleme, portfoyde degil). Geri alim sarti HALA MET DEGIL: RSI 39,2 (asiri ALIMDAN cikis degil, asiri satima yakin) + MACD hist -0,22 NEG + intraday 314,75 sma20 321,75 ve ema50 321,72 ALTINDA. Watchlist suruyor | 08-07: 08-06 settled 311,25 (-%0,88) vs XU100 +%0,70 = -1,57pp. Kumulatif alfa +1,62 -> +0,12 (izleme, portfoyde degil) - Haziran'dan beri en dusuk seviye, defansif deger tezi eriyor. Geri alim sarti HALA MET DEGIL ve UZAKLASIYOR: RSI 38,27 (asiri ALIMDAN cikis degil, asiri satima dogru), MACD hist -0,372 NEG, intraday 311,75 sma20 320,25 / ema20 316,32 / ema50 320,97 UCUNUN DE ALTINDA. Watchlist suruyor | 08-10: MET DEGIL ve UZAKLASIYOR. 08-07 settled 306,25 (-%1,61) vs XU100 -%0,14 = -1,47pp. RSI 40,31 + MACD hist -1,00 NEG; fiyat sma20 318,00 / ema20 313,85 / ema50 319,23'un TAMAMININ ALTINDA. KRITIK: kumulatif alfa +0,12 -> -1,28 NEGATIFE dondu -> 'THYAO defansif alfa uretiyor' okumasi (03 Agu, +3,31) ARTIK GECERSIZ. Geri alim sarti 'asiri ALIMDAN cikis' iken hisse asiri SATIMA dogru gidiyor = sartin ongordugu rejimin tersi. | 08-11: 08-10 settled 303,00 (-%1,06) vs XU100 +%0,23 = -1,30pp; kumulatif alfa -1,28 -> -2,50, defansif okuma ikinci gun de gecersiz. Geri alim sarti (asiri ALIMDAN cikis) gerceklesen rejimin tersi yonunde - MET DEGIL"
2026-07-28,PORTFOY,Yield egrisi dususu (2Y settled) 2-3 seans teyit + PPK sinyali,Nakit -> banka deploy,expired,"07-30 GECERSIZ: 2Y tahvil bugun +0.26 -> 41.99 YUKARI dondu (curve-down tezi TERSINE dondu, 2 gun surmedi). Banka-deploy patikasi kapandi; zaten ISCTR kesimiyle banka agirligi tek-isim GARAN'a dustu"
2026-07-30,GARAN,Stop 118 / RSI>40 iken settled breakdown,De-risk trim / kesim,active,"08-03: 07-31 settled 123.40 (+0.24%) vs XU100 +1.24% = -1pp (banka rebound gununde geride). 08-03 intraday 127.6 (+3.4% toparlanma) RSI 37->52.2 + MACD hist +0.40 POZ -> POST-BEAT RECOVERY hipotezi intraday teyit (skorlamaya girmez). Q2 EPS 28.65 vs 7.40 ~3.9x BEAT (KAP-teyitli, yfinance actual 28.6473 - 07-31'deki 28.0656'dan minor revize). 2Y tahvil -0.45 -> 41.86 curve easing tailwind. Stop 118 uzak, RSI>40 breakdown MET DEGIL -> HOLD. Sonraki bilanco 28 Eki. Kesim stop 118 / RSI>40 settled breakdown | 08-05: DEGERLENDIRILEMEDI (veri kesintisi 2. is gunu). Son teyit 07-31 settled 123.40 > 118 stop; RSI/MACD olculemedi. HOLD (tetik olculemez -> KURAL 9 sabit). Sonraki bilanco 28 Eki | 08-06: TEZ TEYIT EDILDI. 3 backfill seansi 127,90 -> 131,80 -> 129,70 = +%5,10 vs XU100 +%1,82 = +3,28pp OUTPERFORM. 'Beate ragmen sell-the-news = flow' HIPOTEZI (07-31 #5) artik 3 kesinlesmis seansla KANIT. Kumulatif alfa -4,84 -> -2,04. Intraday 129,80 RSI 56,6 (>40, breakdown YOK), MACD hist +0,86 POZ, sma20/ema20/ema50 hepsinin UZERINDE. Stop 118 %10 uzakta. HOLD %29 (tanimli add-tetigi yok + tek-isim banka capi). Sonraki bilanco 28 Eki | 08-07: settled 127,80 > 118 stop (%8,3 pay), RSI 58,48 > 40 -> breakdown MET DEGIL -> HOLD %29. Tek seans -%1,47 vs XU100 +%0,70 = -2,16pp, kumulatif alfa -2,04 -> -4,05. Tek gunluk zayiflik 3-seanslik post-beat kanitini (+3,28pp) yanlislamaz; MACD hist +0,73 POZ, ema20 127,74 UZERINDE. UYARI: ema50 129,10'un ALTINA indi - rejim izleniyor. YENI KANIT: F/K 4,45 < XBANK medyan 4,96 (taze get_sector_comparison; 10 bankalik emsal) -> deger bacagi sektor-medyan bazinda dogrulandi. Sonraki bilanco 28 Eki. Kesim stop 118 / RSI>40 settled breakdown | 08-10: 08-07 settled 127,00 > 118 stop (%7,09 tampon). RSI bacagi METODOLOJI tetigiyle ELLE olculdu: Wilder RSI-14 = 47,36 > 40 -> MET DEGIL. AMA get_technical_analysis 56,14 verdi = elle hesabin 8,8 puan UZERINDE -> gercek momentum TA'nin gosterdiginden ZAYIF, 40 esigine sanildigindan YAKIN. Fiyat ema20 (127,48) VE ema50 (128,76) ALTINDA. Bu nedenle bugun ARA KADEME tetigi acildi (ayri satir). | 08-11: settled 126,60 > 118 stop (%7,29 tampon) -> kesim MET DEGIL. Ara kademe tetigi bugun ayrica FIRED oldu (29->22 trim uygulandi); bu kesim tetigi %22 pozisyon icin gecerliligini SURDURUR"
2026-07-30,BIMAS,settled <370 stop / RSI>75 asiri alim,Kesim (<370) / add-yasak (RSI>75),expired,"08-03: 07-31 settled 390.25 (+1.89%) > 370 stop, endeksi YENDI (+0.65pp). RSI 54.1 saglikli, MACD hist -0.35 (yatay gurultu). Q2 bilanco 19 Agu BINARY. Buyback taban destegi izle. Kesim settled <370 / add-yasak RSI>75 | 08-05: DEGERLENDIRILEMEDI (veri kesintisi 2. is gunu). Son teyit 07-31 settled 390.25 > 370 stop. Q2 19 Agu BINARY (14 gun). Web-turevi 08-03 ~379 CELISKILI, ledger'a girmedi | 08-06: settled 379,00/385,75/382,25 hepsi >370 stop, ihlal YOK. AMA momentum bozuldu: RSI 56,7 -> 48,4, MACD hist -0,98 NEG, intraday 383,00 sma20 385,23 VE ema20 384,46 ALTINDA. 3 seansta -3,87pp geride, kumulatif alfa +1,29 -> -2,59. Stop 370 korundu (kesim YOK - settled breach yok, Q2 19 Agu binary 9 is gunu). YENI ALT-TETIK EKLENDI: settled <378 (ema50 alti) VEYA RSI<45 -> 20'den 12'ye TRIM. Add-yasak RSI>75 surer | 08-07: settled 382,25 > 370 stop (%3,3 pay), ihlal YOK -> HOLD %20. RSI>75 add-yasagi da uzak (49,50 settled). Kar bacagi bugun SERT VERIYLE dogrulandi: 2026Q1 net kar +%82,5 YoY, faaliyet kari zarardan kara. Q2 19 Agu BINARY (8 is gunu). Kesim settled <370 | 08-10: 08-07 settled 385,75 > 370 (%4,08 tampon) -> MET DEGIL. Tek seans +1,06pp ONDE, kumulatif alfa -3,30 -> -2,25. Q2 19 Agu (7 is gunu). | 08-11: settled 384,25 > 370 stop -> MET DEGIL. Elle RSI 48,93 < 75 add-yasagi || GUNCELLEME 2026-09-21: SUPERSEDED: BIMAS trailing stop 370 -> 385 -> 405'e yukseltildi (son 09-15). Gecerli esik 405'tir (2026-09-17 BIMAS tetigi). Eski 370 esigi artik bir aksiyon dogurmuyor."
2026-07-30,AEFES,settled <20.40 stop,Kesim,expired,"08-03: 07-31 settled 21.88 (-0.91%) > 20.40 stop; up gununde -2.15pp geride ama kumulatif +2.18 en iyi cekirdek. 08-03 intraday 22.00 RSI 66.8 (add-yasak 75 esigine yaklasiyor). Q2 bilanco 12 Agu BINARY. Kesim settled <20.40 / add-yasak RSI>75 | 08-05: DEGERLENDIRILEMEDI (veri kesintisi 2. is gunu). Son teyit 07-31 settled 21.88 > 20.40 stop. Q2 12 Agu BINARY (7 gun). Web-turevi 08-03 '22.08' rakami ledger'daki 07-30 kapanisiyla AYNI -> kaynak hizalamasi supheli, kullanilmadi | 08-06: settled 22,08/21,54/21,32 hepsi >20,40 stop, ihlal YOK. 3 seansta -4,38pp geride; kumulatif alfa +2,18 -> -2,24 (en iyi cekirdekten negatife). AMA momentum KIRILMADI: RSI 56,5, MACD hist +0,006 POZ, intraday 21,58 sma20 21,23/ema50 21,26 UZERINDE -> BIMAS/CCOLA'dan ayrisiyor. Cekirdegin en ucuzu (F/K 13,1 EV/FAVOK 4,1). SABIT %18. Q2 12 Agu BINARY (4 is gunu). Kesim <20,40 / add-yasak RSI>75 | 08-07: settled 21,46 > 20,40 stop (%4,7 pay), ihlal YOK; RSI 55,17 < 75 -> HOLD %18. AMA TEMEL KANIT ZAYIFLADI: 2026Q1 attributable net kar -%11,0 YoY (2.010M vs 2.258M) - faaliyet kari +%273 ve brut kar +%21,5 guclu, dip cizgi vergiyle eridi (vergi 3.414M vs 1.597M). Dunku 'uc filtreyi de geciyor' degerlendirmesi DUZELTILDI. Kar-buyumesi bacagi artik KISMI. Q2 12 Agu BINARY (3 is gunu) hakem olacak; post-Q2 trim tetigi ayrica acildi. Kesim <20,40 / add-yasak RSI>75 | 08-10: 08-07 settled 21,58 > 20,40 (%5,47 tampon) -> MET DEGIL. RSI 42,54 (TA) / 53,45 (scan) << 75. Tek seans +0,70pp ONDE. | 08-11: settled 21,72 > 20,40 stop (%6,47) -> MET DEGIL. Elle RSI 54,14 < 75 add-yasagi | 08-14 EXPIRED: pozisyon KAPANDI (AEFES/CCOLA tam kesim, exit 08-12 settled) -> bu tetigin izledigi agirlik artik yok. Geri alim sartlari positions.csv exit_reason'da kayitli"
